city,project,country,province,link,slug,id
Bristol,West of England (Bristol and Bath),England,West of England,https://uk.inaturalist.org/projects/city-nature-challenge-2026-west-of-england-bristol-and-bath,city-nature-challenge-2026-west-of-england-bristol-and-bath,273831
Posadas,Misiones,Argentina,Misiones,https://www.inaturalist.org/projects/cnc-2026-desafio-misiones,cnc-2026-desafio-misiones,279847
Amarillo,Amarillo Metropolitan Area plus Hutchinson County,United States of America,Texas,https://www.inaturalist.org/projects/2026-city-nature-challenge-amarillo-and-area,2026-city-nature-challenge-amarillo-and-area,278899
Tallahassee,Northwest Florida - Southwest Georgia,United States of America,"Florida, Georgia",https://www.inaturalist.org/projects/2026-florida-georgia-inaturalist-city-nature-challenge,2026-florida-georgia-inaturalist-city-nature-challenge,264019
Massa Lubrense,Area Marina Protetta Punta Campanella,Italy,Italia,https://www.inaturalist.org/projects/amp-punta-campanella-bioblitz-e-blublitz-cnc-2026,amp-punta-campanella-bioblitz-e-blublitz-cnc-2026,270883
Arrecife Alacranes,Arrecife Alacranes,Mexico,Yucatan,https://www.inaturalist.org/projects/arrecife-alacranes-yucatan-cnc-2026,arrecife-alacranes-yucatan-cnc-2026,266301
Banyoles,Banyoles/Pla de l'Estany,Spain,Girona,https://www.inaturalist.org/projects/biomarato-2026-pla-de-l-estany,biomarato-2026-pla-de-l-estany,264283
Santa Pola,Santa Pola I Espais Naturals,Spain,Comunitat Valenciana,https://www.inaturalist.org/projects/biomarato-cnc-2026-santa-pola,biomarato-cnc-2026-santa-pola,266273
Vinaròs,Vinaròs-La Massola,Spain,Castellón,https://www.inaturalist.org/projects/biomarato-primavera-2026-vinaros-la-massola,biomarato-primavera-2026-vinaros-la-massola,270128
Navalcarnero,Navalcarnero - El Álamo,Spain,Comunidad de Madrid,https://www.inaturalist.org/projects/biomaraton-cnc-2025-navalcarnero-el-alamo,biomaraton-cnc-2025-navalcarnero-el-alamo,265435
Pamplona,Área Metropolitana de Pamplona / Iruña,Spain,Navarra,https://www.inaturalist.org/projects/biomaraton-cnc-2026-pamplona-iruna,biomaraton-cnc-2026-pamplona-iruna,265338
Tudela,Ribera Navarra,Spain,Navarra,https://www.inaturalist.org/projects/biomaraton-cnc-2026-ribera-navarra,biomaraton-cnc-2026-ribera-navarra,270127
Zaragoza,"Zaragoza: área metropolitana, AR, ES División",Spain,Aragón,https://www.inaturalist.org/projects/biomaraton-cnc-2026-zaragoza,biomaraton-cnc-2026-zaragoza,266515
Colmenar Viejo,Colmenar Viejo,Spain,Madrid y Burgos,https://www.inaturalist.org/projects/biomaraton-cnc-colmenar-viejo-2026,biomaraton-cnc-colmenar-viejo-2026,264498
Takuapa,Takuapa,Thailand,Phang Nga,https://www.inaturalist.org/projects/city-nature-challange-2025-takuapa-phang-nga,city-nature-challange-2025-takuapa-phang-nga,268804
Jakarta,Jakarta,Indonesia,Jakarta,https://www.inaturalist.org/projects/city-nature-challange-2026-jakarta,city-nature-challange-2026-jakarta,242140
Tirupati,Tirupati,India,Andhra Pradesh,https://www.inaturalist.org/projects/city-nature-challenge-2026-tirupati,city-nature-challenge-2026-tirupati,270084
Nashik,"Nashik, Maharashtra",India,Maharashtra,https://www.inaturalist.org/projects/city-nature-challenge-2026_nashik,city-nature-challenge-2026_nashik,266030
Aarhus,Aarhus,Denmark,Midtjylland,https://www.inaturalist.org/projects/city-nature-challenge-2026-aarhus,city-nature-challenge-2026-aarhus,271354
Abbotsford,Abbotsford,Canada,British Columbia,https://www.inaturalist.org/projects/city-nature-challenge-2026-abbotsford,city-nature-challenge-2026-abbotsford,264718
Aberdeen,Aberdeen,Scotland,Aberdeen,https://www.inaturalist.org/projects/city-nature-challenge-2026-aberdeen,city-nature-challenge-2026-aberdeen,267352
Albuquerque,ABQ,United States of America,New Mexico,https://www.inaturalist.org/projects/city-nature-challenge-2026-abq,city-nature-challenge-2026-abq,265874
Nassawadox,Accomack & Northampton Counties,United States of America,Virginia,https://www.inaturalist.org/projects/city-nature-challenge-2026-accomack-northampton-counties,city-nature-challenge-2026-accomack-northampton-counties,269093
Boise,Ada County,United States of America,Idaho,https://www.inaturalist.org/projects/city-nature-challenge-2026-ada-county,city-nature-challenge-2026-ada-county,264998
Andaman,North & Middle Andaman,India,Andaman and Nicobar Islands,https://www.inaturalist.org/projects/city-nature-challenge-2026-north-middle-andaman,city-nature-challenge-2026-north-middle-andaman,279758
Alachua County,Alachua County,United States of America,Florida,https://www.inaturalist.org/projects/city-nature-challenge-2026-alachua-county,city-nature-challenge-2026-alachua-county,270242
Makhanda,Albany Center of Endemism (Makana & Ndlambe),South Africa,Eastern Cape,https://www.inaturalist.org/projects/city-nature-challenge-2026-albany-coe-makana-ndlambe,city-nature-challenge-2026-albany-coe-makana-ndlambe,264280
Sault Ste. Marie,"Algoma District, ON, Canada & Chippewa County, MI, USA","Canada, United States of America","Ontario, Michigan",https://www.inaturalist.org/projects/city-nature-challenge-2026-algoma-district-on-canada-chippewa-county-mi-usa,city-nature-challenge-2026-algoma-district-on-canada-chippewa-county-mi-usa,265445
Lexington,Allegheny and Shenandoah Mountains,United States of America,Virginia,https://www.inaturalist.org/projects/city-nature-challenge-2026-allegheny-and-shenandoah-mountains,city-nature-challenge-2026-allegheny-and-shenandoah-mountains,269091
Alpiarça,Alpiarça,Portugal,Alpiarça,https://www.inaturalist.org/projects/city-nature-challenge-2026-alpiarca,city-nature-challenge-2026-alpiarca,275064
Amstetten,"Amstetten, Waidhofen/Ybbs",Austria,Niederösterreich,https://www.inaturalist.org/projects/city-nature-challenge-2026-amstetten-waidhofen-ybbs,city-nature-challenge-2026-amstetten-waidhofen-ybbs,275608
Antigonish,Antigonish County,Canada,Nova Scotia,https://www.inaturalist.org/projects/city-nature-challenge-2026-antigonish-county,city-nature-challenge-2026-antigonish-county,273835
Ahmedabad,Ahmedabad-Gandhinagar,India,Gujarat,https://www.inaturalist.org/projects/city-nature-challenge-2026-ahmedabad-gandhinagar,city-nature-challenge-2026-ahmedabad-gandhinagar,265074
Athens,Athens-Clarke County,United States of America,Georgia,https://www.inaturalist.org/projects/city-nature-challenge-2026-athens-clarke-county,city-nature-challenge-2026-athens-clarke-county,268776
Athens,Athens Metropolitan Area,Greece,Attica,https://www.inaturalist.org/projects/city-nature-challenge-2026-athens-metropolitan-area,city-nature-challenge-2026-athens-metropolitan-area,276764
Atlanta,Greater Atlanta Area,United States of America,Georgia,https://www.inaturalist.org/projects/city-nature-challenge-2026-atlanta,city-nature-challenge-2026-atlanta,264827
Austin,Greater Austin,United States of America,Texas,https://www.inaturalist.org/projects/city-nature-challenge-2026-austin,city-nature-challenge-2026-austin,265496
Baku,"Baku, Abşeron Peninsula",Azerbaijan,Abşeron Peninsula,https://www.inaturalist.org/projects/city-nature-challenge-2026-baku-abseron-peninsula,city-nature-challenge-2026-baku-abseron-peninsula,264878
Baltimore,Baltimore Metro Area,United States of America,Maryland,https://www.inaturalist.org/projects/city-nature-challenge-2026-baltimore-metro-area,city-nature-challenge-2026-baltimore-metro-area,264098
Assam,Assam,India,Assam,https://www.inaturalist.org/projects/city-nature-challenge-2026-assam,city-nature-challenge-2026-assam,265582
Bangkok,Bangkok Metropolitan Region,Thailand,Central Thailand,https://www.inaturalist.org/projects/city-nature-challenge-2026-bangkok-metropolitan-region-thailand,city-nature-challenge-2026-bangkok-metropolitan-region-thailand,265176
Baton Rouge,Baton Rouge Region,United States of America,Louisiana,https://www.inaturalist.org/projects/city-nature-challenge-2026-baton-rouge-region,city-nature-challenge-2026-baton-rouge-region,259655
Bend,Bend,United States of America,Oregon,https://www.inaturalist.org/projects/city-nature-challenge-2026-bend,city-nature-challenge-2026-bend,265646
Berezivka,"Berezivka city, Odesa region",Ukraine,Odesa,https://www.inaturalist.org/projects/city-nature-challenge-2026-berezivka-ua,city-nature-challenge-2026-berezivka-ua,277499
Bergamo,Bergamo,Italy,Lombardia,https://www.inaturalist.org/projects/city-nature-challenge-2026-bergamo,city-nature-challenge-2026-bergamo,266452
Reading,Berks County,United States of America,Pennsylvania,https://www.inaturalist.org/projects/city-nature-challenge-2026-berks-county,city-nature-challenge-2026-berks-county,264999
Berkshire,Berkshire,England,Berkshire,https://www.inaturalist.org/projects/city-nature-challenge-2026-berkshire,city-nature-challenge-2026-berkshire,269406
Berlin,Berlin,Germany,,https://www.inaturalist.org/projects/city-nature-challenge-2026-berlin,city-nature-challenge-2026-berlin,265202
Bethlehem,Bethlehem,United States of America,Pennsylvania,https://www.inaturalist.org/projects/city-nature-challenge-2026-bethlehem,city-nature-challenge-2026-bethlehem,265390
Bangalore,Bangalore,India,Karnataka,https://www.inaturalist.org/projects/city-nature-challenge-2026-bangalore-metropolitan-region,city-nature-challenge-2026-bangalore-metropolitan-region,266241
Almaty,Big Almaty,Kazakhstan,Almaty Region,https://www.inaturalist.org/projects/city-nature-challenge-2026-big-almaty,city-nature-challenge-2026-big-almaty,275133
Bila Tserkva,Bila Tserkva,Ukraine,Kyivska oblast,https://www.inaturalist.org/projects/city-nature-challenge-2026-bila-tserkva,city-nature-challenge-2026-bila-tserkva,274664
Bilene,Bilene,Mozambique,Gaza,https://www.inaturalist.org/projects/city-nature-challenge-2026-bilene,city-nature-challenge-2026-bilene,274479
Makarska,Biokovo,Croatia,Splitsko-dalmatinska županija,https://www.inaturalist.org/projects/city-nature-challenge-2026-biokovo,city-nature-challenge-2026-biokovo,271690
Alicante,Alicante,Spain,Alicante,https://www.inaturalist.org/projects/city-nature-challenge-2026-biomarato-primavera-2026-alacant,city-nature-challenge-2026-biomarato-primavera-2026-alacant,275120
Birmingham,Birmingham Metro Area,United States of America,Alabama,https://www.inaturalist.org/projects/city-nature-challenge-2026-birmingham-metro-area,city-nature-challenge-2026-birmingham-metro-area,268692
Bishop,Bishop and Mammoth Lakes,United States of America,California,https://www.inaturalist.org/projects/city-nature-challenge-2026-bishop-and-mammoth-lakes,city-nature-challenge-2026-bishop-and-mammoth-lakes,273860
Čazma,Bjelovarsko-bilogorska županija,Croatia,Bjelovarsko-bilogorska županija,https://www.inaturalist.org/projects/city-nature-challenge-2026-bjelovarsko-bilogorska-zupanija,city-nature-challenge-2026-bjelovarsko-bilogorska-zupanija,271508
Boane,Boane,Mozambique,Maputo,https://www.inaturalist.org/projects/city-nature-challenge-2026-boane,city-nature-challenge-2026-boane,274473
Bolton,Bolton,United States of America,Vermont,https://www.inaturalist.org/projects/city-nature-challenge-2026-bolton-vt,city-nature-challenge-2026-bolton-vt,270174
Bonn,Bonn,Germany,Nordrhein-Westfalen,https://www.inaturalist.org/projects/city-nature-challenge-2026-bonn,city-nature-challenge-2026-bonn,272549
Boone County,Boone County,United States of America,Kentucky,https://www.inaturalist.org/projects/city-nature-challenge-2026-boone-county-kentucky,city-nature-challenge-2026-boone-county-kentucky,266500
Boston,Boston Area,United States of America,Massachusetts,https://www.inaturalist.org/projects/city-nature-challenge-2026-boston-area,city-nature-challenge-2026-boston-area,265029
Bowling Green,Bowling Green and South Central Kentucky,United States of America,Kentucky,https://www.inaturalist.org/projects/city-nature-challenge-2026-bowling-green-and-south-central-kentucky,city-nature-challenge-2026-bowling-green-and-south-central-kentucky,270603
Brainerd,Brainerd Lakes Area,United States of America,Minnesota,https://www.inaturalist.org/projects/city-nature-challenge-2026-brainerd-lakes-area,city-nature-challenge-2026-brainerd-lakes-area,275082
Bratislava,Bratislava,Slovakia,Slovakia,https://www.inaturalist.org/projects/city-nature-challenge-2026-bratislava,city-nature-challenge-2026-bratislava,278900
College Station,Brazos Valley,United States of America,Texas,https://www.inaturalist.org/projects/city-nature-challenge-2026-brazos-valley-tx,city-nature-challenge-2026-brazos-valley-tx,264096
Bremen,Bremen & Bremerhaven,Germany,Free Hanseatic City of Bremen,https://www.inaturalist.org/projects/city-nature-challenge-2026-bremen-bremerhaven,city-nature-challenge-2026-bremen-bremerhaven,269520
Brighton,Brighton & Eastern Downs,England,Sussex,https://www.inaturalist.org/projects/city-nature-challenge-2026-brighton-eastern-downs,city-nature-challenge-2026-brighton-eastern-downs,270234
Brno,Brno,Czech Republic,South Moravian Region,https://www.inaturalist.org/projects/city-nature-challenge-2026-brno,city-nature-challenge-2026-brno,272039
Slavonski Brod,Brodsko-posavska županija,Croatia,Brodsko-posavska županija,https://www.inaturalist.org/projects/city-nature-challenge-2026-brodsko-posavska-zupanija,city-nature-challenge-2026-brodsko-posavska-zupanija,271686
Brovary,Brovary,Ukraine,Kyivska,https://www.inaturalist.org/projects/city-nature-challenge-2026-brovarska-hromada,city-nature-challenge-2026-brovarska-hromada,275140
Brussels,Brussels-Capital Region,Belgium,Brussels-Capital Region,https://www.inaturalist.org/projects/city-nature-challenge-2026-brussels-capital-region,city-nature-challenge-2026-brussels-capital-region,264387
Doylestown,Delaware Valley University,United States of America,Pennsylvania,https://www.inaturalist.org/projects/city-nature-challenge-2026-bucks-county,city-nature-challenge-2026-bucks-county,275087
Bucharest,București,Romania,București-Ilfov,https://www.inaturalist.org/projects/city-nature-challenge-2026-bucure-ti,city-nature-challenge-2026-bucure-ti,278444
Budapest,Budapest,Hungary,Pest megye,https://www.inaturalist.org/projects/city-nature-challenge-2026-budapest,city-nature-challenge-2026-budapest,270180
Hamilton,Butler County,United States of America,Ohio,https://www.inaturalist.org/projects/city-nature-challenge-2026-butler-county-oh,city-nature-challenge-2026-butler-county-oh,264323
Johnstown,Cambria County,United States of America,Pennsylvania,https://www.inaturalist.org/projects/city-nature-challenge-2026-cambria-county,city-nature-challenge-2026-cambria-county,272699
Cambridge,Cambridge,Canada,Ontario,https://www.inaturalist.org/projects/city-nature-challenge-2026-cambridge-ontario-canada-observations,city-nature-challenge-2026-cambridge-ontario-canada-observations,270235
Nampa,Canyon County,United States of America,Idaho,https://www.inaturalist.org/projects/city-nature-challenge-2026-canyon-county-id,city-nature-challenge-2026-canyon-county-id,267141
City of Cape Town,Cape Town,South Africa,Western Cape,https://www.inaturalist.org/projects/city-nature-challenge-2026-cape-town,city-nature-challenge-2026-cape-town,273795
Stellenbosch,Cape Winelands,South Africa,Western Cape,https://www.inaturalist.org/projects/city-nature-challenge-2026-cape-winelands,city-nature-challenge-2026-cape-winelands,272952
Great Falls,Cascade County,United States of America,Montana,https://www.inaturalist.org/projects/city-nature-challenge-2026-cascade-county-mt,city-nature-challenge-2026-cascade-county-mt,274585
Celestún,Celestún,Mexico,Yucatán,https://www.inaturalist.org/projects/city-nature-challenge-2026-celestun-yucatan,city-nature-challenge-2026-celestun-yucatan,270692
Serowe,"Central District, Botswana",Botswana,Central District,https://www.inaturalist.org/projects/city-nature-challenge-2026-central-botswana,city-nature-challenge-2026-central-botswana,273644
Bloomington,Central Illinois,United States of America,Illinois,https://www.inaturalist.org/projects/city-nature-challenge-2026-central-illinois,city-nature-challenge-2026-central-illinois,269561
Sagamihara City,Prefectural Central Region of Kanagawa,Japan,Kanagawa Prefecture,https://www.inaturalist.org/projects/city-nature-challenge-2026-central-kanagawa-jp,city-nature-challenge-2026-central-kanagawa-jp,271372
Taichung,Central Taiwan,Taiwan,,https://www.inaturalist.org/projects/city-nature-challenge-2026-central-taiwan,city-nature-challenge-2026-central-taiwan,272353
Ceske Budejovice,Ceske Budejovice,Czech Republic,South Bohemia,https://www.inaturalist.org/projects/city-nature-challenge-2026-ceske-budejovice,city-nature-challenge-2026-ceske-budejovice,272049
Charlotte,Charlotte Metro Region,United States of America,North Carolina,https://www.inaturalist.org/projects/city-nature-challenge-2026-charlotte-metro-region,city-nature-challenge-2026-charlotte-metro-region,275405
Charlottesville,Charlottesville Region,United States of America,Virginia,https://www.inaturalist.org/projects/city-nature-challenge-2026-charlottesville-region,city-nature-challenge-2026-charlottesville-region,269089
Bargarh,Bargarh,India,Odisha,https://www.inaturalist.org/projects/city-nature-challenge-2026-bargarh,city-nature-challenge-2026-bargarh,270419
Cheringoma,Cheringoma,Mozambique,Sofala,https://www.inaturalist.org/projects/city-nature-challenge-2026-cheringoma,city-nature-challenge-2026-cheringoma,274480
Cherkasy,Cherkasy,Ukraine,Cherkasy,https://www.inaturalist.org/projects/city-nature-challenge-2026-cherkasy,city-nature-challenge-2026-cherkasy,274679
Chernihiv,Chernihiv,Ukraine,Chernihiv,https://www.inaturalist.org/projects/city-nature-challenge-2026-chernihiv,city-nature-challenge-2026-chernihiv,274769
Bhopal,Bhopal,India,Madhya Pradesh,https://www.inaturalist.org/projects/city-nature-challenge-2026-bhopal,city-nature-challenge-2026-bhopal,264783
Bhubaneswar,Bhubaneswar,India,Odisha,https://www.inaturalist.org/projects/city-nature-challenge-2026-bhubaneswar,city-nature-challenge-2026-bhubaneswar,270996
Chiang Rai,Chiang Rai,Thailand,Chiang Rai,https://www.inaturalist.org/projects/city-nature-challenge-2026-chiang-rai,city-nature-challenge-2026-chiang-rai,273897
Chiayi,Chiayi-Yunlin,Taiwan,-,https://www.inaturalist.org/projects/city-nature-challenge-2026-chiayi-yunlin,city-nature-challenge-2026-chiayi-yunlin,272352
Chicago,Chicagoland Region,United States of America,"Illinois, Indiana, Wisconsin",https://www.inaturalist.org/projects/city-nature-challenge-2026-chicagoland-region,city-nature-challenge-2026-chicagoland-region,265860
