city,project,country,state,province,link,slug,id
Cape Breton Regional Municipality,CBRM,Canada,,Nova Scotia,https://inaturalist.ca/projects/city-nature-challenge-2026-cape-breton-regional-municipality,city-nature-challenge-2026-cape-breton-regional-municipality,270282.0
Charlottetown,Greater Charlottetown,Canada,,Prince Edward Island,https://inaturalist.ca/projects/city-nature-challenge-2026-charlottetown-pei,city-nature-challenge-2026-charlottetown-pei,274627.0
Barrie,Barrie,Canada,,Ontario,https://inaturalist.ca/projects/city-nature-challenge-2026-city-of-barrie,city-nature-challenge-2026-city-of-barrie,266255.0
London,London,Canada,,Ontario,https://inaturalist.ca/projects/city-nature-challenge-2026-london-on,city-nature-challenge-2026-london-on,266309.0
Edmonton,Edmonton metro area,Canada,,Alberta,https://inaturalist.ca/projects/city-nature-challenge-2026-metro-edmonton-area,city-nature-challenge-2026-metro-edmonton-area,274820.0
Vancouver,Metro Vancouver Regional District,Canada,,British Columbia,https://inaturalist.ca/projects/city-nature-challenge-2026-metro-vancouver-regional-district-mvrd,city-nature-challenge-2026-metro-vancouver-regional-district-mvrd,264008.0
Chatham,Chatham-Kent,Canada,,Ontario,https://inaturalist.ca/projects/city-nature-challenge-2026-municipality-of-chatham-kent,city-nature-challenge-2026-municipality-of-chatham-kent,276777.0
Ottawa,Ottawa,Canada,,Ontario,https://inaturalist.ca/projects/city-nature-challenge-2026-ottawa,city-nature-challenge-2026-ottawa,273839.0
Red Deer,Red Deer Area,Canada,,Alberta,https://inaturalist.ca/projects/city-nature-challenge-2026-red-deer-area,city-nature-challenge-2026-red-deer-area,278797.0
Saskatoon,Saskatoon,Canada,,Saskatchewan,https://inaturalist.ca/projects/city-nature-challenge-2026-saskatoon-sk,city-nature-challenge-2026-saskatoon-sk,270566.0
Summerside,Greater Summerside,Canada,,Prince Edward Island,https://inaturalist.ca/projects/city-nature-challenge-2026-summerside-pei,city-nature-challenge-2026-summerside-pei,274628.0
Thunder Bay,Thunder Bay District,Canada,,Ontario,https://inaturalist.ca/projects/city-nature-challenge-2026-thunder-bay-district-on-canada,city-nature-challenge-2026-thunder-bay-district-on-canada,270275.0
Winnipeg,Winnipeg Region,Canada,,Manitoba,https://inaturalist.ca/projects/city-nature-challenge-2026-winnipeg-region-mb-canada,city-nature-challenge-2026-winnipeg-region-mb-canada,249425.0
Gatineau,Gatineau and the Outaouais,Canada,,Quebec,https://inaturalist.ca/projects/defi-nature-urbaine-2026-gatineau-et-environs-city-nature-challenge-2026,defi-nature-urbaine-2026-gatineau-et-environs-city-nature-challenge-2026,273840.0
Quebec City,Région de Québec,Canada,,Québec,https://inaturalist.ca/projects/defi-nature-urbaine-2026-region-de-quebec,defi-nature-urbaine-2026-region-de-quebec,265895.0
Santiago de Chile,Santiago de Chile,Chile,,Region Metrolitana de Santiago,https://inaturalist.mma.gob.cl/projects/city-nature-challenge-2026-santiago-de-chile,city-nature-challenge-2026-santiago-de-chile,265382.0
Christchurch,Ōtautahi/Christchurch,New Zealand,,Canterbury,https://inaturalist.nz/projects/city-nature-challenge-2026-otautahi-christchurch,city-nature-challenge-2026-otautahi-christchurch,247454.0
Queenstown,Queenstown Lakes,New Zealand,,Otago,https://inaturalist.nz/projects/city-nature-challenge-2026-queenstown-lakes,city-nature-challenge-2026-queenstown-lakes,278392.0
Nanaimo,Regional District of Nanaimo,Canada,,British Columbia,https://inaturalist.nz/projects/city-nature-challenge-2026-regional-district-of-nanaimo,city-nature-challenge-2026-regional-district-of-nanaimo,274814.0
Taranaki,Taranaki,New Zealand,,Taranaki,https://inaturalist.nz/projects/city-nature-challenge-2026-taranaki,city-nature-challenge-2026-taranaki,273661.0
Luxembourg,Luxembourg,Luxembourg,,Luxembourg,https://inaturalist.org/projects/city-nature-challenge-2026-luxembourg,city-nature-challenge-2026-luxembourg,266190.0
Cosalá,Cosalá,Mexico,,Sinaloa/Cosalá,https://mexico.inaturalist.org/projects/city-nature-challenge-2026-cosala-sinaloa,city-nature-challenge-2026-cosala-sinaloa,269778.0
Villahermosa,Villahermosa,Mexico,,Tabasco,https://mexico.inaturalist.org/projects/cnc-2026-villahermosa-tabasco,cnc-2026-villahermosa-tabasco,
Delicias,Delicias-Meoqui-Rosales-Julimes,Mexico,,Chihuahua,https://mexico.inaturalist.org/projects/reto-naturalista-2026-centro-sur-chihuahua-meoqui-delicias-julimes-rosales-mexico,reto-naturalista-2026-centro-sur-chihuahua-meoqui-delicias-julimes-rosales-mexico,275147.0
Chihuahua,Chihuahua,Mexico,,Chihuahua,https://mexico.inaturalist.org/projects/reto-naturalista-2026-chihuahua-mexcio,reto-naturalista-2026-chihuahua-mexcio,
Ecatepec de Morelos,Ecatepec de Morelos,Mexico,,Estado De México,https://mexico.inaturalist.org/projects/reto-naturalista-ecatepec-2026,reto-naturalista-ecatepec-2026,266292.0
Mazatlán,Mazatlán,Mexico,,Sinaloa,https://mexico.inaturalist.org/projects/reto-naturalista-mazatlan-sinaloa-2026,reto-naturalista-mazatlan-sinaloa-2026,265533.0
Mexico City,Ciudad de México,Mexico,,Ciudad de México,https://mexico.inaturalist.org/projects/reto-naturalista-primavera-2026-ciudad-de-mexico,reto-naturalista-primavera-2026-ciudad-de-mexico,264862.0
Amanalco de Becerra,Amanalco de Becerra,Mexico,,Estado de México,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-2026-amanalco-de-becerra-edo-mex,reto-naturalista-urbano-2026-amanalco-de-becerra-edo-mex,266298.0
Atenco,Atenco,Mexico,,Estado de México,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-2026-atenco,reto-naturalista-urbano-2026-atenco,266385.0
Colima,Colima - Villa de Álvarez área,Mexico,,Colima,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-2026-colima,reto-naturalista-urbano-2026-colima,271263.0
Monterrey,Monterrey Zona Metropolitana,Mexico,,Nuevo Leon,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-2026-monterrey-zona-metropolitana,reto-naturalista-urbano-2026-monterrey-zona-metropolitana,272388.0
Puerto Vallarta,Reto Naturalista Urbano 2026: Puerto Vallarta,Mexico,,Jalisco,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-2026-puerto-vallarta,reto-naturalista-urbano-2026-puerto-vallarta,274757.0
Tapachula,Tapachula,Mexico,,Chiapas,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-2026-tapachula-chiapas-mx,reto-naturalista-urbano-2026-tapachula-chiapas-mx,270175.0
Tizimin,Tizimin,Mexico,,Yucatan,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-2026-tizimin,reto-naturalista-urbano-2026-tizimin,266232.0
Tulum,Tulum,Mexico,,Quintana Roo,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-2026-tulum-q-roo,reto-naturalista-urbano-2026-tulum-q-roo,269454.0
Ahome,Municipio De Ahome,Mexico,,Sinaloa,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-ahome-sinaloa-2026,reto-naturalista-urbano-ahome-sinaloa-2026,264388.0
Guadalajara,Area Metropolitana de Guadalajara,Mexico,,Jalisco,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-area-metropolitana-de-guadalajara-2026,reto-naturalista-urbano-area-metropolitana-de-guadalajara-2026,265733.0
Panamá,Ciudad de Panamá y San Miguelito,Panama,,Panamá,https://panama.inaturalist.org/projects/reto-naturalista-urbano-2026-ciudad-de-panama-y-san-miguelito,reto-naturalista-urbano-2026-ciudad-de-panama-y-san-miguelito,266313.0
San Sebastián de los Reyes,San Sebastián de los Reyes,Spain,,Comunidad de Madrid,https://spain.inaturalist.org/projects/biomaraton-cnc-2026-sanse,biomaraton-cnc-2026-sanse,267779.0
Birmingham,Birmingham & Black Country,England,,West Midlands,https://uk.inaturalist.org/projects/city-nature-challenge-2026-birmingham-black-country,city-nature-challenge-2026-birmingham-black-country,265091.0
Chester,Chester Region,England,,Cheshire,https://uk.inaturalist.org/projects/city-nature-challenge-2026-chester-region,city-nature-challenge-2026-chester-region,264099.0
Dundee,Dundee,Scotland,,Tayside,https://uk.inaturalist.org/projects/city-nature-challenge-2026-dundee,city-nature-challenge-2026-dundee,269038.0
Hull,Hull,England,,-,https://uk.inaturalist.org/projects/city-nature-challenge-2026-hull,city-nature-challenge-2026-hull,265929.0
Nottingham City,Nottingham City,England,,Nottinghamshire,https://uk.inaturalist.org/projects/city-nature-challenge-2026-nottingham-city-uk,city-nature-challenge-2026-nottingham-city-uk,266246.0
Swansea,Swansea (City and County),Wales,,South West Wales,https://uk.inaturalist.org/projects/city-nature-challenge-2026-swansea-city-and-county,city-nature-challenge-2026-swansea-city-and-county,270157.0
Bristol,West of England (Bristol and Bath),England,,West of England,https://uk.inaturalist.org/projects/city-nature-challenge-2026-west-of-england-bristol-and-bath,city-nature-challenge-2026-west-of-england-bristol-and-bath,273831.0
Posadas,Misiones,Argentina,,Misiones,https://www.inaturalist.org/projects/cnc-2026-desafio-misiones,cnc-2026-desafio-misiones,
Amarillo,Amarillo Metropolitan Area plus Hutchinson County,United States of America,Texas,,https://www.inaturalist.org/projects/2026-city-nature-challenge-amarillo-and-area,2026-city-nature-challenge-amarillo-and-area,278899.0
Tallahassee,Northwest Florida - Southwest Georgia,United States of America,"Florida, Georgia",,https://www.inaturalist.org/projects/2026-florida-georgia-inaturalist-city-nature-challenge,2026-florida-georgia-inaturalist-city-nature-challenge,264019.0
Massa Lubrense,Area Marina Protetta Punta Campanella,Italy,,Italia,https://www.inaturalist.org/projects/amp-punta-campanella-bioblitz-e-blublitz-cnc-2026,amp-punta-campanella-bioblitz-e-blublitz-cnc-2026,
Arrecife Alacranes,Arrecife Alacranes,Mexico,,Yucatan,https://www.inaturalist.org/projects/arrecife-alacranes-yucatan-cnc-2026,arrecife-alacranes-yucatan-cnc-2026,
Banyoles,Banyoles/Pla de l'Estany,Spain,,Girona,https://www.inaturalist.org/projects/biomarato-2026-pla-de-l-estany,biomarato-2026-pla-de-l-estany,264283.0
Santa Pola,Santa Pola I Espais Naturals,Spain,,Comunitat Valenciana,https://www.inaturalist.org/projects/biomarato-cnc-2026-santa-pola,biomarato-cnc-2026-santa-pola,266273.0
Vinaròs,Vinaròs-La Massola,Spain,,Castellón,https://www.inaturalist.org/projects/biomarato-primavera-2026-vinaros-la-massola,biomarato-primavera-2026-vinaros-la-massola,270128.0
Navalcarnero,Navalcarnero - El Álamo,Spain,,Comunidad de Madrid,https://www.inaturalist.org/projects/biomaraton-cnc-2025-navalcarnero-el-alamo,biomaraton-cnc-2025-navalcarnero-el-alamo,
Pamplona,Área Metropolitana de Pamplona / Iruña,Spain,,Navarra,https://www.inaturalist.org/projects/biomaraton-cnc-2026-pamplona-iruna,biomaraton-cnc-2026-pamplona-iruna,265338.0
Tudela,Ribera Navarra,Spain,,Navarra,https://www.inaturalist.org/projects/biomaraton-cnc-2026-ribera-navarra,biomaraton-cnc-2026-ribera-navarra,270127.0
Zaragoza,"Zaragoza: área metropolitana, AR, ES División",Spain,,Aragón,https://www.inaturalist.org/projects/biomaraton-cnc-2026-zaragoza,biomaraton-cnc-2026-zaragoza,266515.0
Colmenar Viejo,Colmenar Viejo,Spain,,Madrid y Burgos,https://www.inaturalist.org/projects/biomaraton-cnc-colmenar-viejo-2026,biomaraton-cnc-colmenar-viejo-2026,264498.0
Takuapa,Takuapa,Thailand,,Phang Nga,https://www.inaturalist.org/projects/city-nature-challange-2025-takuapa-phang-nga,city-nature-challange-2025-takuapa-phang-nga,
Jakarta,Jakarta,Indonesia,,Jakarta,https://www.inaturalist.org/projects/city-nature-challange-2026-jakarta,city-nature-challange-2026-jakarta,
Tirupati,Tirupati,India,,Andhra Pradesh,https://www.inaturalist.org/projects/city-nature-challenge-2026-tirupati,city-nature-challenge-2026-tirupati,270084.0
Nashik,"Nashik, Maharashtra",India,,Maharashtra,https://www.inaturalist.org/projects/city-nature-challenge-2026_nashik,city-nature-challenge-2026_nashik,266030.0
Aarhus,Aarhus,Denmark,,Midtjylland,https://www.inaturalist.org/projects/city-nature-challenge-2026-aarhus,city-nature-challenge-2026-aarhus,271354.0
Abbotsford,Abbotsford,Canada,,British Columbia,https://www.inaturalist.org/projects/city-nature-challenge-2026-abbotsford,city-nature-challenge-2026-abbotsford,264718.0
Aberdeen,Aberdeen,Scotland,,Aberdeen,https://www.inaturalist.org/projects/city-nature-challenge-2026-aberdeen,city-nature-challenge-2026-aberdeen,267352.0
Albuquerque,ABQ,United States of America,New Mexico,,https://www.inaturalist.org/projects/city-nature-challenge-2026-abq,city-nature-challenge-2026-abq,265874.0
Nassawadox,Accomack & Northampton Counties,United States of America,Virginia,,https://www.inaturalist.org/projects/city-nature-challenge-2026-accomack-northampton-counties,city-nature-challenge-2026-accomack-northampton-counties,269093.0
Boise,Ada County,United States of America,Idaho,,https://www.inaturalist.org/projects/city-nature-challenge-2026-ada-county,city-nature-challenge-2026-ada-county,264998.0
Andaman,North & Middle Andaman,India,,Andaman and Nicobar Islands,https://www.inaturalist.org/projects/city-nature-challenge-2026-north-middle-andaman,city-nature-challenge-2026-north-middle-andaman,279758.0
Alachua County,Alachua County,United States of America,Florida,,https://www.inaturalist.org/projects/city-nature-challenge-2026-alachua-county,city-nature-challenge-2026-alachua-county,270242.0
Makhanda,Albany Center of Endemism (Makana & Ndlambe),South Africa,,Eastern Cape,https://www.inaturalist.org/projects/city-nature-challenge-2026-albany-coe-makana-ndlambe,city-nature-challenge-2026-albany-coe-makana-ndlambe,264280.0
Sault Ste. Marie,"Algoma District, ON, Canada & Chippewa County, MI, USA",Canada and United States of America,,Ontario and Michigan,https://www.inaturalist.org/projects/city-nature-challenge-2026-algoma-district-on-canada-chippewa-county-mi-usa,city-nature-challenge-2026-algoma-district-on-canada-chippewa-county-mi-usa,265445.0
Lexington,Allegheny and Shenandoah Mountains,United States of America,Virginia,,https://www.inaturalist.org/projects/city-nature-challenge-2026-allegheny-and-shenandoah-mountains,city-nature-challenge-2026-allegheny-and-shenandoah-mountains,269091.0
Alpiarça,Alpiarça,Portugal,,Alpiarça,https://www.inaturalist.org/projects/city-nature-challenge-2026-alpiarca,city-nature-challenge-2026-alpiarca,275064.0
Amstetten,"Amstetten, Waidhofen/Ybbs",Austria,,Niederösterreich,https://www.inaturalist.org/projects/city-nature-challenge-2026-amstetten-waidhofen-ybbs,city-nature-challenge-2026-amstetten-waidhofen-ybbs,275608.0
Antigonish,Antigonish County,Canada,,Nova Scotia,https://www.inaturalist.org/projects/city-nature-challenge-2026-antigonish-county,city-nature-challenge-2026-antigonish-county,273835.0
Ahmedabad,Ahmedabad-Gandhinagar,India,,Gujarat,https://www.inaturalist.org/projects/city-nature-challenge-2026-ahmedabad-gandhinagar,city-nature-challenge-2026-ahmedabad-gandhinagar,265074.0
Athens,Athens-Clarke County,United States of America,Georgia,,https://www.inaturalist.org/projects/city-nature-challenge-2026-athens-clarke-county,city-nature-challenge-2026-athens-clarke-county,268776.0
Athens,Athens Metropolitan Area,Greece,,Attica,https://www.inaturalist.org/projects/city-nature-challenge-2026-athens-metropolitan-area,city-nature-challenge-2026-athens-metropolitan-area,276764.0
Atlanta,Greater Atlanta Area,United States of America,Georgia,,https://www.inaturalist.org/projects/city-nature-challenge-2026-atlanta,city-nature-challenge-2026-atlanta,264827.0
Austin,Greater Austin,United States of America,Texas,,https://www.inaturalist.org/projects/city-nature-challenge-2026-austin,city-nature-challenge-2026-austin,265496.0
Baku,"Baku, Abşeron Peninsula",Azerbaijan,,Abşeron Peninsula,https://www.inaturalist.org/projects/city-nature-challenge-2026-baku-abseron-peninsula,city-nature-challenge-2026-baku-abseron-peninsula,264878.0
Baltimore,Baltimore Metro Area,United States of America,Maryland,,https://www.inaturalist.org/projects/city-nature-challenge-2026-baltimore-metro-area,city-nature-challenge-2026-baltimore-metro-area,264098.0
Assam,Assam,India,,Assam,https://www.inaturalist.org/projects/city-nature-challenge-2026-assam,city-nature-challenge-2026-assam,265582.0
Bangkok,Bangkok Metropolitan Region,Thailand,,Central Thailand,https://www.inaturalist.org/projects/city-nature-challenge-2026-bangkok-metropolitan-region-thailand,city-nature-challenge-2026-bangkok-metropolitan-region-thailand,265176.0
Baton Rouge,Baton Rouge Region,United States of America,Louisiana,,https://www.inaturalist.org/projects/city-nature-challenge-2026-baton-rouge-region,city-nature-challenge-2026-baton-rouge-region,259655.0
Bend,Bend,United States of America,Oregon,,https://www.inaturalist.org/projects/city-nature-challenge-2026-bend,city-nature-challenge-2026-bend,265646.0
Berezivka,"Berezivka city, Odesa region",Ukraine,,Odesa,https://www.inaturalist.org/projects/city-nature-challenge-2026-berezivka-ua,city-nature-challenge-2026-berezivka-ua,277499.0
Bergamo,Bergamo,Italy,,Lombardia,https://www.inaturalist.org/projects/city-nature-challenge-2026-bergamo,city-nature-challenge-2026-bergamo,266452.0
Reading,Berks County,United States of America,Pennsylvania,,https://www.inaturalist.org/projects/city-nature-challenge-2026-berks-county,city-nature-challenge-2026-berks-county,264999.0
Berkshire,Berkshire,England,,Berkshire,https://www.inaturalist.org/projects/city-nature-challenge-2026-berkshire,city-nature-challenge-2026-berkshire,269406.0
Berlin,Berlin,Germany,,-,https://www.inaturalist.org/projects/city-nature-challenge-2026-berlin,city-nature-challenge-2026-berlin,265202.0
Bethlehem,Bethlehem,United States of America,Pennsylvania,,https://www.inaturalist.org/projects/city-nature-challenge-2026-bethlehem,city-nature-challenge-2026-bethlehem,265390.0
Bangalore,Bangalore,India,,Karnataka,https://www.inaturalist.org/projects/city-nature-challenge-2026-bangalore-metropolitan-region,city-nature-challenge-2026-bangalore-metropolitan-region,266241.0
Almaty,Big Almaty,Kazakhstan,,Almaty Region,https://www.inaturalist.org/projects/city-nature-challenge-2026-big-almaty,city-nature-challenge-2026-big-almaty,275133.0
Bila Tserkva,Bila Tserkva,Ukraine,,Kyivska oblast,https://www.inaturalist.org/projects/city-nature-challenge-2026-bila-tserkva,city-nature-challenge-2026-bila-tserkva,274664.0
Bilene,Bilene,Mozambique,,Gaza,https://www.inaturalist.org/projects/city-nature-challenge-2026-bilene,city-nature-challenge-2026-bilene,274479.0
Makarska,Biokovo,Croatia,,Splitsko-dalmatinska županija,https://www.inaturalist.org/projects/city-nature-challenge-2026-biokovo,city-nature-challenge-2026-biokovo,271690.0
Alicante,Alicante,Spain,,Alicante,https://www.inaturalist.org/projects/city-nature-challenge-2026-biomarato-primavera-2026-alacant,city-nature-challenge-2026-biomarato-primavera-2026-alacant,275120.0
Birmingham,Birmingham Metro Area,United States of America,Alabama,,https://www.inaturalist.org/projects/city-nature-challenge-2026-birmingham-metro-area,city-nature-challenge-2026-birmingham-metro-area,268692.0
Bishop,Bishop and Mammoth Lakes,United States of America,California,,https://www.inaturalist.org/projects/city-nature-challenge-2026-bishop-and-mammoth-lakes,city-nature-challenge-2026-bishop-and-mammoth-lakes,273860.0
Čazma,Bjelovarsko-bilogorska županija,Croatia,,Bjelovarsko-bilogorska županija,https://www.inaturalist.org/projects/city-nature-challenge-2026-bjelovarsko-bilogorska-zupanija,city-nature-challenge-2026-bjelovarsko-bilogorska-zupanija,271508.0
Boane,Boane,Mozambique,,Maputo,https://www.inaturalist.org/projects/city-nature-challenge-2026-boane,city-nature-challenge-2026-boane,274473.0
Bolton,Bolton,United States of America,Vermont,,https://www.inaturalist.org/projects/city-nature-challenge-2026-bolton-vt,city-nature-challenge-2026-bolton-vt,270174.0
Bonn,Bonn,Germany,,Nordrhein-Westfalen,https://www.inaturalist.org/projects/city-nature-challenge-2026-bonn,city-nature-challenge-2026-bonn,272549.0
Boone County,Boone County,United States of America,Kentucky,,https://www.inaturalist.org/projects/city-nature-challenge-2026-boone-county-kentucky,city-nature-challenge-2026-boone-county-kentucky,266500.0
Boston,Boston Area,United States of America,Massachusetts,,https://www.inaturalist.org/projects/city-nature-challenge-2026-boston-area,city-nature-challenge-2026-boston-area,265029.0
Bowling Green,Bowling Green and South Central Kentucky,United States of America,Kentucky,,https://www.inaturalist.org/projects/city-nature-challenge-2026-bowling-green-and-south-central-kentucky,city-nature-challenge-2026-bowling-green-and-south-central-kentucky,270603.0
Brainerd,Brainerd Lakes Area,United States of America,Minnesota,,https://www.inaturalist.org/projects/city-nature-challenge-2026-brainerd-lakes-area,city-nature-challenge-2026-brainerd-lakes-area,275082.0
Bratislava,Bratislava,Slovakia,,Slovakia,https://www.inaturalist.org/projects/city-nature-challenge-2026-bratislava,city-nature-challenge-2026-bratislava,278900.0
College Station,Brazos Valley,United States of America,Texas,,https://www.inaturalist.org/projects/city-nature-challenge-2026-brazos-valley-tx,city-nature-challenge-2026-brazos-valley-tx,264096.0
Bremen,Bremen & Bremerhaven,Germany,,Free Hanseatic City of Bremen,https://www.inaturalist.org/projects/city-nature-challenge-2026-bremen-bremerhaven,city-nature-challenge-2026-bremen-bremerhaven,269520.0
Brighton,Brighton & Eastern Downs,England,,Sussex,https://www.inaturalist.org/projects/city-nature-challenge-2026-brighton-eastern-downs,city-nature-challenge-2026-brighton-eastern-downs,270234.0
Brno,Brno,Czech Republic,,South Moravian Region,https://www.inaturalist.org/projects/city-nature-challenge-2026-brno,city-nature-challenge-2026-brno,
Slavonski Brod,Brodsko-posavska županija,Croatia,,Brodsko-posavska županija,https://www.inaturalist.org/projects/city-nature-challenge-2026-brodsko-posavska-zupanija,city-nature-challenge-2026-brodsko-posavska-zupanija,271686.0
Brovary,Brovary,Ukraine,,Kyivska,https://www.inaturalist.org/projects/city-nature-challenge-2026-brovarska-hromada,city-nature-challenge-2026-brovarska-hromada,275140.0
Brussels,Brussels-Capital Region,Belgium,,Brussels-Capital Region,https://www.inaturalist.org/projects/city-nature-challenge-2026-brussels-capital-region,city-nature-challenge-2026-brussels-capital-region,264387.0
Doylestown,Delaware Valley University,United States of America,Pennsylvania,,https://www.inaturalist.org/projects/city-nature-challenge-2026-bucks-county,city-nature-challenge-2026-bucks-county,275087.0
Bucharest,București,Romania,,București-Ilfov,https://www.inaturalist.org/projects/city-nature-challenge-2026-bucure-ti,city-nature-challenge-2026-bucure-ti,278444.0
Budapest,Budapest,Hungary,,Pest megye,https://www.inaturalist.org/projects/city-nature-challenge-2026-budapest,city-nature-challenge-2026-budapest,270180.0
Hamilton,Butler County,United States of America,Ohio,,https://www.inaturalist.org/projects/city-nature-challenge-2026-butler-county-oh,city-nature-challenge-2026-butler-county-oh,264323.0
Johnstown,Cambria County,United States of America,Pennsylvania,,https://www.inaturalist.org/projects/city-nature-challenge-2026-cambria-county,city-nature-challenge-2026-cambria-county,272699.0
Cambridge,Cambridge,Canada,,Ontario,https://www.inaturalist.org/projects/city-nature-challenge-2026-cambridge-ontario-canada-observations,city-nature-challenge-2026-cambridge-ontario-canada-observations,270235.0
Nampa,Canyon County,United States of America,Idaho,,https://www.inaturalist.org/projects/city-nature-challenge-2026-canyon-county-id,city-nature-challenge-2026-canyon-county-id,267141.0
City of Cape Town,Cape Town,South Africa,,Western Cape,https://www.inaturalist.org/projects/city-nature-challenge-2026-cape-town,city-nature-challenge-2026-cape-town,273795.0
Stellenbosch,Cape Winelands,South Africa,,Western Cape,https://www.inaturalist.org/projects/city-nature-challenge-2026-cape-winelands,city-nature-challenge-2026-cape-winelands,272952.0
Great Falls,Cascade County,United States of America,Montana,,https://www.inaturalist.org/projects/city-nature-challenge-2026-cascade-county-mt,city-nature-challenge-2026-cascade-county-mt,274585.0
Celestún,Celestún,Mexico,,Yucatán,https://www.inaturalist.org/projects/city-nature-challenge-2026-celestun-yucatan,city-nature-challenge-2026-celestun-yucatan,270692.0
Serowe,"Central District, Botswana",Botswana,,Central District,https://www.inaturalist.org/projects/city-nature-challenge-2026-central-botswana,city-nature-challenge-2026-central-botswana,273644.0
Bloomington,Central Illinois,United States of America,Illinois,,https://www.inaturalist.org/projects/city-nature-challenge-2026-central-illinois,city-nature-challenge-2026-central-illinois,269561.0
Sagamihara City,Prefectural Central Region of Kanagawa,Japan,,Kanagawa Prefecture,https://www.inaturalist.org/projects/city-nature-challenge-2026-central-kanagawa-jp,city-nature-challenge-2026-central-kanagawa-jp,271372.0
Taichung,Central Taiwan,Taiwan,,-,https://www.inaturalist.org/projects/city-nature-challenge-2026-central-taiwan,city-nature-challenge-2026-central-taiwan,272353.0
Ceske Budejovice,Ceske Budejovice,Czech Republic,,South Bohemia,https://www.inaturalist.org/projects/city-nature-challenge-2026-ceske-budejovice,city-nature-challenge-2026-ceske-budejovice,272049.0
Charlotte,Charlotte Metro Region,United States of America,North Carolina,,https://www.inaturalist.org/projects/city-nature-challenge-2026-charlotte-metro-region,city-nature-challenge-2026-charlotte-metro-region,275405.0
Charlottesville,Charlottesville Region,United States of America,Virginia,,https://www.inaturalist.org/projects/city-nature-challenge-2026-charlottesville-region,city-nature-challenge-2026-charlottesville-region,269089.0
Bargarh,Bargarh,India,,Odisha,https://www.inaturalist.org/projects/city-nature-challenge-2026-bargarh,city-nature-challenge-2026-bargarh,270419.0
Cheringoma,Cheringoma,Mozambique,,Sofala,https://www.inaturalist.org/projects/city-nature-challenge-2026-cheringoma,city-nature-challenge-2026-cheringoma,274480.0
Cherkasy,Cherkasy,Ukraine,,Cherkasy,https://www.inaturalist.org/projects/city-nature-challenge-2026-cherkasy,city-nature-challenge-2026-cherkasy,274679.0
Chernihiv,Chernihiv,Ukraine,,Chernihiv,https://www.inaturalist.org/projects/city-nature-challenge-2026-chernihiv,city-nature-challenge-2026-chernihiv,274769.0
